zip,lat,lon,state,policy_count,running_sum,running_percentage
44022,41.449353,-81.431436,OH,5,8781,91.71
44068,41.904594,-80.685034,OH,5,8786,91.76
44090,41.160846,-82.211778,OH,5,8791,91.81
44095,41.658653,-81.444531,OH,5,8796,91.86
44105,41.452502,-81.632912,OH,5,8801,91.92
44124,41.501001,-81.469427,OH,5,8806,91.97
44135,41.427912,-81.817199,OH,5,8811,92.02
44147,41.314053,-81.673099,OH,5,8816,92.07
44223,41.170605,-81.526738,OH,5,8821,92.13
44266,41.163755,-81.172922,OH,5,8826,92.18
44287,40.925084,-82.070909,OH,5,8831,92.23
44301,41.04349,-81.524017,OH,5,8836,92.28
44333,41.155154,-81.631394,OH,5,8841,92.33
44685,40.975057,-81.408167,OH,5,8846,92.39
44714,40.834457,-81.360834,OH,5,8851,92.44
44814,41.338364,-82.459915,OH,5,8856,92.49
44818,41.046546,-82.968764,OH,5,8861,92.54
44824,41.366624,-82.785818,OH,5,8866,92.60
45202,39.109356,-84.502584,OH,5,8871,92.65
45207,39.14311,-84.468842,OH,5,8876,92.70
45220,39.145559,-84.520093,OH,5,8881,92.75
45255,39.058412,-84.339639,OH,5,8886,92.80
45318,40.11727,-84.35384,OH,5,8891,92.86
45327,39.62876,-84.403005,OH,5,8896,92.91
45426,39.798187,-84.321119,OH,5,8901,92.96
45614,38.92307,-82.276201,OH,5,8906,93.01
45821,41.223404,-84.571519,OH,5,8911,93.07
45856,41.09838,-83.98467,OH,5,8916,93.12
45860,40.394413,-84.535296,OH,5,8921,93.17
45874,40.77144,-84.61551,OH,5,8926,93.22
43011,40.313394,-82.665177,OH,4,8930,93.26
43060,40.204788,-83.568531,OH,4,8934,93.31
43107,39.70173,-82.42682,OH,4,8938,93.35
43116,39.769857,-83.060153,OH,4,8942,93.39
43154,39.616,-82.80858,OH,4,8946,93.43
43156,39.5559,-82.776,OH,4,8950,93.47
43315,40.479648,-82.852969,OH,4,8954,93.51
43316,40.927265,-83.387038,OH,4,8958,93.56
43408,41.568599,-83.363224,OH,4,8962,93.60
43457,41.2695,-83.42493,OH,4,8966,93.64
43464,41.396673,-82.921319,OH,4,8970,93.68
43773,40.040755,-81.313561,OH,4,8974,93.72
44044,41.2745,-82.046168,OH,4,8978,93.77
44050,41.258201,-82.119671,OH,4,8982,93.81
44056,41.311288,-81.492511,OH,4,8986,93.85
44094,41.637997,-81.377383,OH,4,8990,93.89
44102,41.47225,-81.740305,OH,4,8994,93.93
44253,41.162553,-82.020109,OH,4,8998,93.97
44306,41.041805,-81.479986,OH,4,9002,94.02
44314,41.041555,-81.559791,OH,4,9006,94.06
44321,41.100154,-81.644346,OH,4,9010,94.10
44430,41.24112,-80.886138,OH,4,9014,94.14
44432,40.743051,-80.745313,OH,4,9018,94.18
44438,41.263559,-80.54444,OH,4,9022,94.22
44440,41.13874,-80.76593,OH,4,9026,94.27
44444,41.197392,-80.952731,OH,4,9030,94.31
44502,41.087352,-80.638546,OH,4,9034,94.35
44718,40.846532,-81.440791,OH,4,9038,94.39
44730,40.770507,-81.26598,OH,4,9042,94.43
44807,41.077343,-82.903207,OH,4,9046,94.48
44864,40.674683,-82.308743,OH,4,9050,94.52
45152,39.342034,-84.106916,OH,4,9054,94.56
45209,39.153022,-84.426671,OH,4,9058,94.60
45217,39.166109,-84.495893,OH,4,9062,94.64
45248,39.165158,-84.662509,OH,4,9066,94.68
45333,40.248489,-84.345612,OH,4,9070,94.73
45341,39.878918,-84.021827,OH,4,9074,94.77
45370,39.608285,-84.025972,OH,4,9078,94.81
45383,39.96255,-84.328,OH,4,9082,94.85
45404,39.794958,-84.163589,OH,4,9086,94.89
45405,39.789857,-84.217391,OH,4,9090,94.93
45750,39.413446,-81.351051,OH,4,9094,94.98
45770,38.981015,-81.812092,OH,4,9098,95.02
45827,41.003391,-84.298718,OH,4,9102,95.06
45883,40.408584,-84.635417,OH,4,9106,95.10
43013,40.23867,-82.69239,OH,3,9109,95.13
43029,40.12256,-83.48937,OH,3,9112,95.16
43061,40.295612,-83.199506,OH,3,9115,95.20
43135,39.462546,-82.666506,OH,3,9118,95.23
43217,39.827675,-82.934198,OH,3,9121,95.26
43356,40.475651,-83.048607,OH,3,9124,95.29
43413,41.24005,-83.64327,OH,3,9127,95.32
43442,41.422628,-83.231171,OH,3,9130,95.35
43445,41.569398,-83.311577,OH,3,9133,95.38
43451,41.315346,-83.621091,OH,3,9136,95.42
43463,41.509051,-83.508531,OH,3,9139,95.45
43511,41.259285,-83.811421,OH,3,9142,95.48
43525,41.466702,-83.705486,OH,3,9145,95.51
43535,41.305439,-84.003632,OH,3,9148,95.54
435609471,41.6929,-83.727737,OH,3,9151,95.57
43620,41.664849,-83.553933,OH,3,9154,95.60
43844,40.33535,-82.00681,OH,3,9157,95.63
44023,41.387203,-81.304222,OH,3,9160,95.67
44028,41.3056,-81.949111,OH,3,9163,95.70
44057,41.781467,-81.073247,OH,3,9166,95.73
44074,41.294649,-82.227628,OH,3,9169,95.76
44103,41.51805,-81.6425,OH,3,9172,95.79
44111,41.4595,-81.787006,OH,3,9175,95.82
44137,41.404703,-81.557493,OH,3,9178,95.85
44149,41.312349,-81.856087,OH,3,9181,95.89
44233,41.23648,-81.736072,OH,3,9184,95.92
44234,41.310354,-81.1652,OH,3,9187,95.95
44236,41.244023,-81.476335,OH,3,9190,95.98
44255,41.282355,-81.229924,OH,3,9193,96.01
44262,41.138206,-81.431677,OH,3,9196,96.04
44272,41.078728,-81.173572,OH,3,9199,96.07
44273,41.044552,-81.960694,OH,3,9202,96.10
44302,41.090605,-81.539039,OH,3,9205,96.14
44320,41.07739,-81.579391,OH,3,9208,96.17
44412,41.102836,-81.049216,OH,3,9211,96.20
44436,41.056428,-80.549561,OH,3,9214,96.23
44473,41.2656,-80.704184,OH,3,9217,96.26
44481,41.176641,-80.902344,OH,3,9220,96.29
44505,41.108057,-80.616596,OH,3,9223,96.32
44632,40.96367,-81.33122,OH,3,9226,96.36
44703,40.808808,-81.379886,OH,3,9229,96.39
44840,40.78933,-82.206323,OH,3,9232,96.42
44855,41.109479,-82.58654,OH,3,9235,96.45
44878,40.926203,-82.528622,OH,3,9238,96.48
44905,40.777896,-82.461347,OH,3,9241,96.51
